,name,rating,address,price_level,place,type,subtype,CP,latitude,longitude,geometry,price
188,Café El Despertar,4.1,"Calle de la Torrecilla del Leal, 18, 28012 Madrid, Spain",1.0,jazz,plan,culture,28012,40.41080789999999,-3.6995308,"{'type': 'Point', 'coordinates': [40.41080789999999, -3.6995308]}",1-15€
189,La Coquette,4.6,"Calle de las Hileras, 14, 28013 Madrid, Spain",2.0,jazz,plan,culture,28013,40.4177289,-3.7075658,"{'type': 'Point', 'coordinates': [40.4177289, -3.7075658]}",15-25€
190,Café Berlín,4.3,"C, Costanilla de los Ángeles, 20, 28013 Madrid, Spain",2.0,jazz,plan,culture,28013,40.4195885,-3.707943,"{'type': 'Point', 'coordinates': [40.4195885, -3.707943]}",15-25€
191,Barco,4.0,"Calle del Barco, 34, 28004 Madrid, Spain",2.0,jazz,plan,culture,28004,40.4232058,-3.7022359,"{'type': 'Point', 'coordinates': [40.4232058, -3.7022359]}",15-25€
192,Tempo Club,4.0,"Calle Duque de Osuna, 8, 28015 Madrid, Spain",2.0,jazz,plan,culture,28015,40.425275,-3.711892,"{'type': 'Point', 'coordinates': [40.425275, -3.711892]}",15-25€
193,Smooth Hot Jazz,5.0,"Calle de López de Hoyos, 42, 28006 Madrid, Spain",2.0,jazz,plan,culture,28006,40.4399404,-3.6809834,"{'type': 'Point', 'coordinates': [40.4399404, -3.6809834]}",15-25€
194,JazzVille,4.3,"C. de Jesús Aprendiz, 19, 28007 Madrid, Spain",1.0,jazz,plan,culture,28007,40.4097636,-3.6709719,"{'type': 'Point', 'coordinates': [40.4097636, -3.6709719]}",1-15€
195,Amazonico Jazz Club,4.1,"Calle de Jorge Juan, 20, 28001 Madrid, Spain",4.0,jazz,plan,culture,28001,40.4237285,-3.685041,"{'type': 'Point', 'coordinates': [40.4237285, -3.685041]}",More than 50€
196,Sala Soul,3.4,"Cuesta de Sto. Domingo, 22, 28013 Madrid, Spain",2.0,jazz,plan,culture,28013,40.4196879,-3.7084304,"{'type': 'Point', 'coordinates': [40.4196879, -3.7084304]}",15-25€
197,Danny's Jazz,4.3,"C. del Dr. Ramón Castroviejo, 63, 28035 Madrid, Spain",1.0,jazz,plan,culture,28035,40.4736132,-3.723625,"{'type': 'Point', 'coordinates': [40.4736132, -3.723625]}",1-15€
198,Little ROSE Madrid,4.6,"C. de Moratín, 16, 28014 Madrid, Spain",1.0,jazz,plan,culture,28014,40.4123677,-3.6967889,"{'type': 'Point', 'coordinates': [40.4123677, -3.6967889]}",1-15€
