,provincia,poblacion,CP,lat,lon
300,Madrid,Valdemanco,28729,-3.663.505.970,40.871.816.970
301,Madrid,Valdemaqueda,28295,-4.295.148.700,40.511.013.460
302,Madrid,Valdemorillo,28210,-4.067.051.090,40.502.164.340
303,Madrid,Valdemoro,28340,-3.678.814.740,40.188.899.480
304,Madrid,Valdeolmos-Alalpardo,28130,-3.474.563.520,40.629.569.630
305,Madrid,Valdepielagos,28170,-3.463.696.510,40.762.842.970
306,Madrid,Valdetorres de Jarama,28150,-3.512.610.800,40.695.594.510
307,Madrid,Valdilecha,28511,-3.303.707.530,40.295.013.860
308,Madrid,Valverde de Alcala,28812,-3.298.509.310,40.418.940.100
309,Madrid,Velilla de San Antonio,28891,-3.488.274.820,40.366.332.150
310,Madrid,El Vellon,28722,-3.581.492.820,40.765.986.250
311,Madrid,Venturada,28729,-3.617.799.840,40.799.633.840
312,Madrid,Villaconejos,28360,-3.485.679.100,40.103.920.240
313,Madrid,Villa del Prado,28630,-4.305.531.510,40.276.432.030
314,Madrid,Villalbilla,28810,-3.297.791.590,40.432.662.900
315,Madrid,Villamanrique de Tajo,28598,-3.238.613.660,40.067.776.880
316,Madrid,Villamanta,28610,-4.107.635.630,40.300.558.690
317,Madrid,Villamantilla,28609,-4.129.779.720,40.338.678.110
318,Madrid,Villanueva de la Cañada,28691,-4.003.408.140,40.447.752.900
319,Madrid,Villanueva de la Cañada,28692,-4.003.408.140,40.447.752.900
320,Madrid,Villanueva del Pardillo,28229,-3.964.383.460,40.489.544.100
321,Madrid,Villanueva de Perales,28609,-4.101.258.680,40.346.998.130
322,Madrid,Villar del Olmo,28512,-3.235.360.010,40.336.173.070
323,Madrid,Villar del Olmo,28514,-3.235.360.010,40.336.173.070
324,Madrid,Villarejo de Salvanés,28590,-3.272.326.260,40.167.834.740
325,Madrid,Villaviciosa de Odon,28670,-3.896.484.280,40.357.648.780
326,Madrid,Villavieja del Lozoya,28739,-3.670.805.960,41.005.988.870
327,Madrid,Zarzalejo,28293,-4.182.479.350,40.548.237.890
328,Madrid,Lozoyuela-Navas-Sieteiglesias,28752,-3.618.396.740,40.927.819.810
329,Madrid,Lozoyuela-Navas-Sieteiglesias,28753,-3.618.396.740,40.927.819.810
330,Madrid,Lozoyuela-Navas-Sieteiglesias,28754,-3.618.396.740,40.927.819.810
331,Madrid,Puentes Viejas,28195,-3.583.264.550,40.964.450.110
332,Madrid,Puentes Viejas,28196,-3.583.264.550,40.964.450.110
333,Madrid,Puentes Viejas,28754,-3.583.264.550,40.964.450.110
334,Madrid,Tres Cantos,28760,-3.704.205.900,40.604.905.350
335,Madrid,Tres Cantos,28761,-3.704.205.900,40.604.905.350
